feature,feature_value,shap_value,abs_shap,direction,business_feature
AVG_PAYMENT_DELAY,-20.42105263157895,-0.023402769036844153,0.023402769036844153,Decreases risk,Average Payment Delay
CREDIT_GOODS_RATIO,1.1583974358974358,0.021341540593141233,0.021341540593141233,Increases risk,Credit-to-Goods Ratio
APARTMENTS_MEDI,0.025,0.02007633887667325,0.02007633887667325,Increases risk,Apartments Medi
AMT_REQ_CREDIT_BUREAU_QRT,0.0,0.019611155835075958,0.019611155835075958,Increases risk,Amt Req Credit Bureau Qrt
INSTALLMENT_COUNT,19.0,0.01947686908392227,0.01947686908392227,Increases risk,Installment Count
AMT_CREDIT,406597.5,0.019127498281843618,0.019127498281843618,Increases risk,Amt Credit
FLAG_WORK_PHONE,0,-0.018950021162527354,0.018950021162527354,Decreases risk,Flag Work Phone
WEEKDAY_APPR_PROCESS_START,WEDNESDAY,0.01794327560746684,0.01794327560746684,Increases risk,Weekday Appr Process Start
BUREAU_AVG_CREDIT_DAYS,-874.0,-0.017502699945915256,0.017502699945915256,Decreases risk,Average Credit History Duration
FLAG_PHONE,1,-0.017293520901701154,0.017293520901701154,Decreases risk,Flag Phone
WALLSMATERIAL_MODE,"Stone, brick",0.016453917244938783,0.016453917244938783,Increases risk,Wallsmaterial Mode
AMT_ANNUITY,24700.5,0.013513229126333475,0.013513229126333475,Increases risk,Amt Annuity
CC_RECORD_COUNT,0.0,0.01327394322521951,0.01327394322521951,Increases risk,Cc Record Count
BUREAU_ACTIVE_ACCOUNT_COUNT,2.0,-0.012982460307161058,0.012982460307161058,Decreases risk,Bureau Active Account Count
AVG_PAYMENT_RATIO,1.0,-0.01297061256205903,0.01297061256205903,Decreases risk,Average Payment Ratio
NAME_FAMILY_STATUS,Single / not married,-0.012497691282774418,0.012497691282774418,Decreases risk,Name Family Status
YEARS_BUILD_AVG,0.6192,-0.012483681240242704,0.012483681240242704,Decreases risk,Years Build Avg
ANNUITY_INCOME_RATIO,0.1219777777777777,-0.011141628635678783,0.011141628635678783,Decreases risk,Annuity-to-Income Ratio
PREV_AVG_CREDIT,179055.0,0.010824922676252097,0.010824922676252097,Increases risk,Average Previous Credit
LIVINGAPARTMENTS_MODE,0.022,-0.010747776774294535,0.010747776774294535,Decreases risk,Livingapartments Mode
YEARS_BUILD_MODE,0.6341,-0.010075840281592734,0.010075840281592734,Decreases risk,Years Build Mode
NONLIVINGAREA_AVG,0.0,0.009452778275120432,0.009452778275120432,Increases risk,Nonlivingarea Avg
TOTALAREA_MODE,0.0149,0.0090367685681285,0.0090367685681285,Increases risk,Totalarea Mode
CC_AVG_CREDIT_LIMIT,,0.008192478922729687,0.008192478922729687,Increases risk,Cc Avg Credit Limit
DAYS_REGISTRATION,-3648.0,0.007651834859873085,0.007651834859873085,Increases risk,Days Registration
HOUR_APPR_PROCESS_START,10,0.007128910480237256,0.007128910480237256,Increases risk,Hour Appr Process Start
LIVINGAREA_MEDI,0.0193,0.006675954671103219,0.006675954671103219,Increases risk,Livingarea Medi
COMMONAREA_MEDI,0.0144,-0.006623684294149518,0.006623684294149518,Decreases risk,Commonarea Medi
NAME_CONTRACT_TYPE,Cash loans,0.005323897865266778,0.005323897865266778,Increases risk,Name Contract Type
CNT_CHILDREN,0,0.005077645794438008,0.005077645794438008,Increases risk,Cnt Children
FLAG_DOCUMENT_18,0,0.004971813913641822,0.004971813913641822,Increases risk,Flag Document 18
FLAG_DOCUMENT_16,0,0.004917965838783644,0.004917965838783644,Increases risk,Flag Document 16
LIVINGAREA_MODE,0.0198,0.004696679734168554,0.004696679734168554,Increases risk,Livingarea Mode
DAYS_ID_PUBLISH,-2120,0.004688869617168766,0.004688869617168766,Increases risk,Days Id Publish
CREDIT_INCOME_RATIO,2.007888888888889,-0.004520757302419777,0.004520757302419777,Decreases risk,Credit-to-Income Ratio
BASEMENTAREA_MODE,0.0383,-0.004411331177164562,0.004411331177164562,Decreases risk,Basementarea Mode
ENTRANCES_MODE,0.069,0.004327298984465869,0.004327298984465869,Increases risk,Entrances Mode
CC_AVG_UTILIZATION,,-0.004252617422854561,0.004252617422854561,Decreases risk,Credit Card Utilization
DAYS_LAST_PHONE_CHANGE,-1134.0,0.003956680797075095,0.003956680797075095,Increases risk,Days Last Phone Change
NAME_HOUSING_TYPE,House / apartment,0.0038358900768096418,0.0038358900768096418,Increases risk,Name Housing Type
CC_MAX_BALANCE,,-0.0036258154766206406,0.0036258154766206406,Decreases risk,Cc Max Balance
POS_DEFAULT_DPD_COUNT,0.0,-0.003583890974402049,0.003583890974402049,Decreases risk,POS Default-DPD Count
LIVINGAPARTMENTS_MEDI,0.0205,0.0035282376422565384,0.0035282376422565384,Increases risk,Livingapartments Medi
FLOORSMAX_MODE,0.0833,0.0034679743340836023,0.0034679743340836023,Increases risk,Floorsmax Mode
LIVINGAREA_AVG,0.019,0.003400968581494697,0.003400968581494697,Increases risk,Livingarea Avg
POS_LATE_RECORD_COUNT,0.0,0.0033775378697432734,0.0033775378697432734,Increases risk,POS Late Payment Count
OBS_30_CNT_SOCIAL_CIRCLE,2.0,-0.003273370815545982,0.003273370815545982,Decreases risk,Obs 30 Cnt Social Circle
POS_LATE_RATE,0.0,0.0029945181514784655,0.0029945181514784655,Increases risk,POS Late Payment Rate
ELEVATORS_MEDI,0.0,0.0029767333365584166,0.0029767333365584166,Increases risk,Elevators Medi
NONLIVINGAPARTMENTS_AVG,0.0,-0.002856985804820222,0.002856985804820222,Decreases risk,Nonlivingapartments Avg
BUREAU_ACCOUNT_COUNT,8.0,-0.0027240176312201317,0.0027240176312201317,Decreases risk,Bureau Account Count
OBS_60_CNT_SOCIAL_CIRCLE,2.0,-0.0026550935750005223,0.0026550935750005223,Decreases risk,Obs 60 Cnt Social Circle
LATE_PAYMENT_COUNT,0.0,-0.002517078992435301,0.002517078992435301,Decreases risk,Late Payment Count
BASEMENTAREA_MEDI,0.0369,-0.0022855156364865598,0.0022855156364865598,Decreases risk,Basementarea Medi
FLAG_DOCUMENT_13,0,0.002219417506220522,0.002219417506220522,Increases risk,Flag Document 13
APARTMENTS_MODE,0.0252,0.0021897687056478435,0.0021897687056478435,Increases risk,Apartments Mode
NAME_TYPE_SUITE,Unaccompanied,0.00199111673911987,0.00199111673911987,Increases risk,Name Type Suite
ENTRANCES_AVG,0.069,0.0019682940452722462,0.0019682940452722462,Increases risk,Entrances Avg
REG_CITY_NOT_LIVE_CITY,0,-0.0018283112600500648,0.0018283112600500648,Decreases risk,Reg City Not Live City
FLAG_OWN_CAR,N,0.001793507350434757,0.001793507350434757,Increases risk,Flag Own Car
POS_MAX_DPD,0.0,0.0017409970614255359,0.0017409970614255359,Increases risk,Maximum POS Days Past Due
YEARS_BEGINEXPLUATATION_AVG,0.9722,0.0017320712554804599,0.0017320712554804599,Increases risk,Years Beginexpluatation Avg
CC_AVG_BALANCE,,-0.001561074891046535,0.001561074891046535,Decreases risk,Cc Avg Balance
ENTRANCES_MEDI,0.069,0.0015448157094620418,0.0015448157094620418,Increases risk,Entrances Medi
COMMONAREA_MODE,0.0144,-0.001523525204220383,0.001523525204220383,Decreases risk,Commonarea Mode
AMT_REQ_CREDIT_BUREAU_YEAR,1.0,0.0015096546396277642,0.0015096546396277642,Increases risk,Amt Req Credit Bureau Year
FLOORSMAX_AVG,0.0833,0.0014210891132315228,0.0014210891132315228,Increases risk,Floorsmax Avg
ELEVATORS_AVG,0.0,0.0013366716365979753,0.0013366716365979753,Increases risk,Elevators Avg
CNT_FAM_MEMBERS,1.0,0.0011745141966229766,0.0011745141966229766,Increases risk,Cnt Fam Members
CC_MAX_DPD,,0.0011169374654055372,0.0011169374654055372,Increases risk,Maximum Credit Card Days Past Due
FLOORSMAX_MEDI,0.0833,0.0010779769422328289,0.0010779769422328289,Increases risk,Floorsmax Medi
REGION_RATING_CLIENT,2,0.0010461129260742688,0.0010461129260742688,Increases risk,Region Rating Client
CC_LATE_RECORD_COUNT,0.0,0.0009982436657109196,0.0009982436657109196,Increases risk,Credit Card Late Payment Count
FONDKAPREMONT_MODE,reg oper account,0.0009711760642278483,0.0009711760642278483,Increases risk,Fondkapremont Mode
BASEMENTAREA_AVG,0.0369,0.0009057747068992009,0.0009057747068992009,Increases risk,Basementarea Avg
REGION_RATING_CLIENT_W_CITY,2,-0.0008983213148914129,0.0008983213148914129,Decreases risk,Region Rating Client W City
PREV_APPROVED_COUNT,1.0,0.0008714548066364435,0.0008714548066364435,Increases risk,Previous Approved Applications
CC_LATE_RATE,,-0.0008432796617708323,0.0008432796617708323,Decreases risk,Credit Card Late Payment Rate
NONLIVINGAREA_MEDI,0.0,-0.0007519486920842934,0.0007519486920842934,Decreases risk,Nonlivingarea Medi
NONLIVINGAPARTMENTS_MODE,0.0,-0.0007259374181809129,0.0007259374181809129,Decreases risk,Nonlivingapartments Mode
YEARS_BUILD_MEDI,0.6243,-0.000690768125896217,0.000690768125896217,Decreases risk,Years Build Medi
CC_AVG_RECEIVABLE,,0.0006674060866344887,0.0006674060866344887,Increases risk,Cc Avg Receivable
NONLIVINGAPARTMENTS_MEDI,0.0,-0.0005797990395544622,0.0005797990395544622,Decreases risk,Nonlivingapartments Medi
LIVINGAPARTMENTS_AVG,0.0202,0.0005755414792767522,0.0005755414792767522,Increases risk,Livingapartments Avg
NONLIVINGAREA_MODE,0.0,0.0005635456753936303,0.0005635456753936303,Increases risk,Nonlivingarea Mode
AMT_REQ_CREDIT_BUREAU_MON,0.0,0.0005328362940054549,0.0005328362940054549,Increases risk,Amt Req Credit Bureau Mon
REG_REGION_NOT_LIVE_REGION,0,0.0004381849359037957,0.0004381849359037957,Increases risk,Reg Region Not Live Region
POS_AVG_DPD,0.0,0.00041929992847151054,0.00041929992847151054,Increases risk,Average POS Days Past Due
FLOORSMIN_MODE,0.125,-0.00040443449830363296,0.00040443449830363296,Decreases risk,Floorsmin Mode
LANDAREA_MEDI,0.0375,0.000387035084056893,0.000387035084056893,Increases risk,Landarea Medi
PREV_APPLICATION_COUNT,1.0,0.0003389065834692355,0.0003389065834692355,Increases risk,Previous Application Count
REG_CITY_NOT_WORK_CITY,0,-0.00033831531510769694,0.00033831531510769694,Decreases risk,Reg City Not Work City
AMT_REQ_CREDIT_BUREAU_WEEK,0.0,0.00031263636944687975,0.00031263636944687975,Increases risk,Amt Req Credit Bureau Week
LANDAREA_MODE,0.0377,0.0002995895533834295,0.0002995895533834295,Increases risk,Landarea Mode
LIVE_CITY_NOT_WORK_CITY,0,0.0002837817671542224,0.0002837817671542224,Increases risk,Live City Not Work City
FLAG_DOCUMENT_15,0,0.0002683871487801547,0.0002683871487801547,Increases risk,Flag Document 15
FLOORSMIN_MEDI,0.125,0.00026800973507462263,0.00026800973507462263,Increases risk,Floorsmin Medi
YEARS_BEGINEXPLUATATION_MODE,0.9722,-0.0002634219336742829,0.0002634219336742829,Decreases risk,Years Beginexpluatation Mode
AMT_REQ_CREDIT_BUREAU_DAY,0.0,0.000248331693432988,0.000248331693432988,Increases risk,Amt Req Credit Bureau Day
FLOORSMIN_AVG,0.125,-0.0002435588591365865,0.0002435588591365865,Decreases risk,Floorsmin Avg
FLAG_DOCUMENT_11,0,0.00023081302129417377,0.00023081302129417377,Increases risk,Flag Document 11
COMMONAREA_AVG,0.0143,-0.0002038157854055048,0.0002038157854055048,Decreases risk,Commonarea Avg
YEARS_BEGINEXPLUATATION_MEDI,0.9722,0.00019510178964357922,0.00019510178964357922,Increases risk,Years Beginexpluatation Medi
BUREAU_TOTAL_OVERDUE,0.0,0.00015198735242790323,0.00015198735242790323,Increases risk,Historical Overdue Amount
FLAG_CONT_MOBILE,1,0.00013769264582328946,0.00013769264582328946,Increases risk,Flag Cont Mobile
ELEVATORS_MODE,0.0,-0.00013754989919291722,0.00013754989919291722,Decreases risk,Elevators Mode
FLAG_DOCUMENT_8,0,0.00012231378071691582,0.00012231378071691582,Increases risk,Flag Document 8
AMT_INCOME_TOTAL,202500.0,0.00011168777736856832,0.00011168777736856832,Increases risk,Amt Income Total
CC_AVG_DPD,,-0.00010869132606959806,0.00010869132606959806,Decreases risk,Average Credit Card Days Past Due
FLAG_EMAIL,0,8.967355288569672e-05,8.967355288569672e-05,Increases risk,Flag Email
FLAG_OWN_REALTY,Y,-6.345919001526922e-05,6.345919001526922e-05,Decreases risk,Flag Own Realty
FLAG_DOCUMENT_14,0,6.118643953962874e-05,6.118643953962874e-05,Increases risk,Flag Document 14
LIVE_REGION_NOT_WORK_REGION,0,5.9019032582566845e-05,5.9019032582566845e-05,Increases risk,Live Region Not Work Region
HOUSETYPE_MODE,block of flats,-3.917792963876925e-05,3.917792963876925e-05,Decreases risk,Housetype Mode
FLAG_DOCUMENT_6,0,-3.0707508803191286e-05,3.0707508803191286e-05,Decreases risk,Flag Document 6
CHILDREN_PER_FAMILY,0.0,2.589835491711862e-05,2.589835491711862e-05,Increases risk,Children Per Family
EMERGENCYSTATE_MODE,No,-8.550108273193587e-06,8.550108273193587e-06,Decreases risk,Emergencystate Mode
FLAG_DOCUMENT_5,0,7.798342562052938e-06,7.798342562052938e-06,Increases risk,Flag Document 5
REG_REGION_NOT_WORK_REGION,0,5.729951350436094e-06,5.729951350436094e-06,Increases risk,Reg Region Not Work Region
FLAG_DOCUMENT_20,0,-3.336342904278852e-06,3.336342904278852e-06,Decreases risk,Flag Document 20
FLAG_EMP_PHONE,1,0.0,0.0,Decreases risk,Flag Emp Phone
FLAG_MOBIL,1,0.0,0.0,Decreases risk,Flag Mobil
FLAG_DOCUMENT_7,0,0.0,0.0,Decreases risk,Flag Document 7
FLAG_DOCUMENT_2,0,0.0,0.0,Decreases risk,Flag Document 2
FLAG_DOCUMENT_4,0,0.0,0.0,Decreases risk,Flag Document 4
FLAG_DOCUMENT_21,0,0.0,0.0,Decreases risk,Flag Document 21
FLAG_DOCUMENT_17,0,0.0,0.0,Decreases risk,Flag Document 17
AMT_REQ_CREDIT_BUREAU_HOUR,0.0,0.0,0.0,Decreases risk,Amt Req Credit Bureau Hour
FLAG_DOCUMENT_10,0,0.0,0.0,Decreases risk,Flag Document 10
FLAG_DOCUMENT_19,0,0.0,0.0,Decreases risk,Flag Document 19
FLAG_DOCUMENT_12,0,0.0,0.0,Decreases risk,Flag Document 12
FLAG_DOCUMENT_9,0,0.0,0.0,Decreases risk,Flag Document 9
HAS_BUREAU_HISTORY,1,0.0,0.0,Decreases risk,Has Bureau History
HAS_PREVIOUS_APPLICATION,1,0.0,0.0,Decreases risk,Has Previous Application
HAS_INSTALLMENT_HISTORY,1,0.0,0.0,Decreases risk,Has Installment History
HAS_POS_HISTORY,1,0.0,0.0,Decreases risk,Has POS History
HAS_CREDIT_CARD_HISTORY,0,0.0,0.0,Decreases risk,Has Credit Card History
